File name,a,b,c,d,e,f
Mts000M000432.txt,75:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000433.txt,47:MaxOft,80:LinearComp,81:LinearComp,,,
Mts000M000436.txt,75:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000443.txt,9:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000445.txt,74:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000446.txt,52:SampleProd,80:LinearComp,81:LinearComp,,,
Mts000M000450.txt,80:LinearComp,81:LinearComp,104:AutoCor,,,
Mts000M000457.txt,15:BirthdaySpacings,79:RandomWalk1,80:LinearComp,81:LinearComp,,
Mts000M000458.txt,55:SampleCorr,80:LinearComp,81:LinearComp,92:HammingCorr,,
Mts000M000459.txt,80:LinearComp,81:LinearComp,86:LongestHeadRun,,,
Mts000M000460.txt,33:CouponCollector,80:LinearComp,81:LinearComp,,,
Mts000M000463.txt,11:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000464.txt,80:LinearComp,81:LinearComp,87:LongestHeadRun,,,
Mts000M000466.txt,80:LinearComp,81:LinearComp,94:HammingCorr,,,
Mts000M000467.txt,78:RandomWalk1,80:LinearComp,81:LinearComp,92:HammingCorr,,
Mts000M000472.txt,78:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000474.txt,12:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000475.txt,33:CouponCollector,43:Permutation,72:Savir2,80:LinearComp,81:LinearComp,
Mts000M000481.txt,9:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000484.txt,68:MatrixRank,80:LinearComp,81:LinearComp,,,
Mts000M000485.txt,48:MaxOft,80:LinearComp,81:LinearComp,,,
Mts000M000486.txt,79:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000491.txt,74:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000496.txt,12:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000503.txt,74:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000504.txt,80:LinearComp,81:LinearComp,92:HammingCorr,,,
