File name,a,b,c,d,e,f
Mts000M000268.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000269.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000270.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000271.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000272.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000275.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000276.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000277.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000278.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000279.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000280.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000281.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000282.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000283.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000284.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000285.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000286.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000287.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000288.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000289.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000291.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000294.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000295.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000296.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000298.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000299.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000302.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000303.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000304.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000307.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000309.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000310.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000311.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000313.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000314.txt,"80:LinearComp,","81:LinearComp,",,,,
