File name,a,b,c,d,e
Mts000M000076.txt,80:LinearComp,81:LinearComp,,,
Mts000M000077.txt,80:LinearComp,81:LinearComp,,,
Mts000M000078.txt,80:LinearComp,81:LinearComp,,,
Mts000M000079.txt,80:LinearComp,81:LinearComp,,,
Mts000M000080.txt,80:LinearComp,81:LinearComp,,,
Mts000M000082.txt,80:LinearComp,81:LinearComp,,,
Mts000M000083.txt,80:LinearComp,81:LinearComp,,,
Mts000M000085.txt,80:LinearComp,81:LinearComp,,,
Mts000M000086.txt,80:LinearComp,81:LinearComp,,,
Mts000M000087.txt,80:LinearComp,81:LinearComp,,,
Mts000M000088.txt,80:LinearComp,81:LinearComp,,,
Mts000M000089.txt,80:LinearComp,81:LinearComp,,,
Mts000M000090.txt,80:LinearComp,81:LinearComp,,,
Mts000M000091.txt,80:LinearComp,81:LinearComp,,,
Mts000M000092.txt,80:LinearComp,81:LinearComp,,,
Mts000M000093.txt,80:LinearComp,81:LinearComp,,,
Mts000M000094.txt,80:LinearComp,81:LinearComp,,,
Mts000M000097.txt,80:LinearComp,81:LinearComp,,,
Mts000M000098.txt,80:LinearComp,81:LinearComp,,,
Mts000M000100.txt,80:LinearComp,81:LinearComp,,,
Mts000M000102.txt,80:LinearComp,81:LinearComp,,,
Mts000M000107.txt,80:LinearComp,81:LinearComp,,,
Mts000M000108.txt,80:LinearComp,81:LinearComp,,,
Mts000M000109.txt,80:LinearComp,81:LinearComp,,,
Mts000M000110.txt,80:LinearComp,81:LinearComp,,,
Mts000M000111.txt,80:LinearComp,81:LinearComp,,,
Mts000M000114.txt,80:LinearComp,81:LinearComp,,,
Mts000M000115.txt,80:LinearComp,81:LinearComp,,,
Mts000M000116.txt,80:LinearComp,81:LinearComp,,,
Mts000M000118.txt,80:LinearComp,81:LinearComp,,,
Mts000M000119.txt,80:LinearComp,81:LinearComp,,,
Mts000M000123.txt,80:LinearComp,81:LinearComp,,,
Mts000M000124.txt,80:LinearComp,81:LinearComp,,,
Mts000M000125.txt,80:LinearComp,81:LinearComp,,,
Mts000M000126.txt,80:LinearComp,81:LinearComp,,,
Mts000M000127.txt,80:LinearComp,81:LinearComp,,,
Mts000M000128.txt,80:LinearComp,81:LinearComp,,,
Mts000M000129.txt,80:LinearComp,81:LinearComp,,,
Mts000M000130.txt,80:LinearComp,81:LinearComp,,,
Mts000M000134.txt,80:LinearComp,81:LinearComp,,,
Mts000M000136.txt,80:LinearComp,81:LinearComp,,,
Mts000M000137.txt,80:LinearComp,81:LinearComp,,,
Mts000M000139.txt,80:LinearComp,81:LinearComp,,,
Mts000M000142.txt,80:LinearComp,81:LinearComp,,,
Mts000M000143.txt,80:LinearComp,81:LinearComp,,,
Mts000M000144.txt,80:LinearComp,81:LinearComp,,,
Mts000M000146.txt,80:LinearComp,81:LinearComp,,,
Mts000M000149.txt,80:LinearComp,81:LinearComp,,,
Mts000M000151.txt,80:LinearComp,81:LinearComp,,,
